Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2022-01-01T00:00+01:00,3201.78,9512.95,38544.55,50.05
2022-01-01T01:00+01:00,3344.15,9444.18,37282.47,41.33
2022-01-01T02:00+01:00,3340.75,9383.19,35972.17,43.22
2022-01-01T03:00+01:00,3341.08,9356.06,34534.05,45.46
2022-01-01T04:00+01:00,3335.16,9373.79,33184.47,37.67
2022-01-01T05:00+01:00,3338.23,9445.97,31541.8,39.7
2022-01-01T06:00+01:00,3336.58,9691.98,30447.29,40.59
2022-01-01T07:00+01:00,3333.74,10004.18,30303.41,43.26
2022-01-01T08:00+01:00,3338.67,10393.02,28619.57,49.66
2022-01-01T09:00+01:00,3324.29,10532.03,28649.97,70.05
2022-01-01T10:00+01:00,3330.23,10805.49,29474,76.79
2022-01-01T11:00+01:00,3337.02,10912.5,29868.06,84.1
2022-01-01T12:00+01:00,3347.26,11178.04,30544.52,94.74
2022-01-01T13:00+01:00,3340.85,10919.55,29600.61,96.8
2022-01-01T14:00+01:00,3270.57,11257.77,27207.17,97.17
2022-01-01T15:00+01:00,3329.91,13310.18,24760.82,101
2022-01-01T16:00+01:00,3335.19,14688.84,23558.65,126.6
2022-01-01T17:00+01:00,3338.59,15343.15,25335.52,149.97
2022-01-01T18:00+01:00,3344.02,15769.56,27417.93,146.33
2022-01-01T19:00+01:00,3344.13,15533.13,29626.39,140.28
2022-01-01T20:00+01:00,3350.59,14285.01,31058.27,121.88
2022-01-01T21:00+01:00,3346.68,13131.53,31360.62,102.61
2022-01-01T22:00+01:00,3347.85,12633.7,31775.8,97.46
2022-01-01T23:00+01:00,3353.48,11317.33,32380.19,85.16
2022-01-02T00:00+01:00,3346.53,9866.82,32913.25,57.08
2022-01-02T01:00+01:00,3189.86,9764.77,32276.58,52.59
2022-01-02T02:00+01:00,3262.45,9610.88,31336.22,48.97
2022-01-02T03:00+01:00,3291.34,9497.36,31491.49,34.94
2022-01-02T04:00+01:00,3342.23,9511.04,30836.03,29.56
2022-01-02T05:00+01:00,3326.86,9523.93,31534.81,33.97
2022-01-02T06:00+01:00,3305.77,9536.63,31545.18,34.52
2022-01-02T07:00+01:00,3334.1,9580.5,31726.86,41.8
2022-01-02T08:00+01:00,3352.2,9651.8,34602.7,48.95
2022-01-02T09:00+01:00,3333.73,9599.63,36425.68,60.01
2022-01-02T10:00+01:00,3356.25,9629.93,40355.06,70.09
2022-01-02T11:00+01:00,3369.17,9521.58,43902.84,66.26
